Title,Genre,Director,Year,Runtime (Minutes),Rating,Votes
Sin City: A Dame to Kill For,Action,Frank Miller,2014,102,6.5,122185
The Bourne Ultimatum,Action,Paul Greengrass,2007,115,8.1,525700
Srpski film,Horror,Srdjan Spasojevic,2010,104,5.2,43648
The Purge: Election Year,Action,James DeMonaco,2016,109,6,54216
3 Idiots,Comedy,Rajkumar Hirani,2009,170,8.4,238789
Zoolander 2,Comedy,Ben Stiller,2016,102,4.7,48297
World War Z,Action,Marc Forster,2013,116,7,494819
Mission: Impossible - Ghost Protocol,Action,Brad Bird,2011,132,7.4,382459
Let Me Make You a Martyr,Action,Corey Asraf,2016,102,6.4,223
Filth,Comedy,Jon S. Baird,2013,97,7.1,81301
The Longest Ride,Drama,George Tillman Jr.,2015,123,7.1,58421
The imposible,Drama,J.A. Bayona,2012,114,7.6,156189
Kick-Ass 2,Action,Jeff Wadlow,2013,103,6.6,214825
Folk Hero & Funny Guy,Comedy,Jeff Grace,2016,88,5.6,220
Oz the Great and Powerful,Adventure,Sam Raimi,2013,130,6.3,181521
Brooklyn,Drama,John Crowley,2015,117,7.5,94977
Coraline,Animation,Henry Selick,2009,100,7.7,156620
Blue Valentine,Drama,Derek Cianfrance,2010,112,7.4,151409
The Thinning,Thriller,Michael J. Gallagher,2016,81,6,4531
Silent Hill,Adventure,Christophe Gans,2006,125,6.6,184152
Dredd,Action,Pete Travis,2012,95,7.1,213764
Hunt for the Wilderpeople,Adventure,Taika Waititi,2016,101,7.9,52331
Big Hero 6,Animation,Don Hall,2014,102,7.8,309186
Carrie,Drama,Kimberly Peirce,2013,100,5.9,113272
Iron Man 2,Action,Jon Favreau,2010,124,7,556666
Demolition,Comedy,Jean-Marc VallÃ©e,2015,101,7,58720
Pandorum,Action,Christian Alvart,2009,108,6.8,126656
Olympus Has Fallen,Action,Antoine Fuqua,2013,119,6.5,214994
I Am Number Four,Action,D.J. Caruso,2011,109,6.1,202682
Jagten,Drama,Thomas Vinterberg,2012,115,8.3,192263
The Proposal,Comedy,Anne Fletcher,2009,108,6.7,241709
Get Hard,Comedy,Etan Cohen,2015,100,6,95119
Just Go with It,Comedy,Dennis Dugan,2011,117,6.4,182069
Revolutionary Road,Drama,Sam Mendes,2008,119,7.3,159736
The Town,Crime,Ben Affleck,2010,125,7.6,294553
The Boy,Horror,William Brent Bell,2016,97,6,51235
Denial,Biography,Mick Jackson,2016,109,6.6,8229
Predestination,Drama,Michael Spierig,2014,97,7.5,187760
Goosebumps,Adventure,Rob Letterman,2015,103,6.3,57602
Sherlock Holmes: A Game of Shadows,Action,Guy Ritchie,2011,129,7.5,357436
Salt,Action,Phillip Noyce,2010,100,6.4,255813
Enemy,Mystery,Denis Villeneuve,2013,91,6.9,111558
District 9,Action,Neill Blomkamp,2009,112,8,556794
The Other Guys,Action,Adam McKay,2010,107,6.7,199900
American Gangster,Biography,Ridley Scott,2007,157,7.8,337835
Marie Antoinette,Biography,Sofia Coppola,2006,123,6.4,83941
2012,Action,Roland Emmerich,2009,158,5.8,297984
Harry Potter and the Half-Blood Prince,Adventure,David Yates,2009,153,7.5,351059
Argo,Biography,Ben Affleck,2012,120,7.7,481274
Eddie the Eagle,Biography,Dexter Fletcher,2016,106,7.4,56332
The Lives of Others,Drama,Florian Henckel von Donnersmarck,2006,137,8.5,278103
Pet,Horror,Carles Torrens,2016,94,5.7,8404
Paint It Black,Drama,Amber Tamblyn,2016,96,8.3,61
Macbeth,Drama,Justin Kurzel,2015,113,6.7,41642
Forgetting Sarah Marshall,Comedy,Nicholas Stoller,2008,111,7.2,226619
The Giver,Drama,Phillip Noyce,2014,97,6.5,93799
Triple 9,Action,John Hillcoat,2016,115,6.3,48400
Perfetti sconosciuti,Comedy,Paolo Genovese,2016,97,7.7,17584
Angry Birds,Animation,Clay Kaytis,2016,97,6.3,55781
Moonrise Kingdom,Adventure,Wes Anderson,2012,94,7.8,254446
Hairspray,Comedy,Adam Shankman,2007,117,6.7,102954
Safe Haven,Drama,Lasse HallstrÃ¶m,2013,115,6.7,84765
Focus,Comedy,Glenn Ficarra,2015,105,6.6,166489
Ratatouille,Animation,Brad Bird,2007,111,8,504039
Stake Land,Drama,Jim Mickle,2010,98,6.5,36091
The Book of Eli,Action,Albert Hughes,2010,118,6.9,241359
Cloverfield,Action,Matt Reeves,2008,85,7,313803
Point Break,Action,Ericson Core,2015,114,5.3,44553
Under the Skin,Drama,Jonathan Glazer,2013,108,6.3,94707
I Am Legend,Drama,Francis Lawrence,2007,101,7.2,565721
Men in Black 3,Action,Barry Sonnenfeld,2012,106,6.8,278379
Super 8,Mystery,J.J. Abrams,2011,112,7.1,298913
Law Abiding Citizen,Crime,F. Gary Gray,2009,109,7.4,228339
Up,Animation,Pete Docter,2009,96,8.3,722203
Maze Runner: The Scorch Trials,Action,Wes Ball,2015,131,6.3,159364
Carol,Drama,Todd Haynes,2015,118,7.2,77995
Imperium,Crime,Daniel Ragussis,2016,109,6.5,27428
Youth,Comedy,Paolo Sorrentino,2015,124,7.3,52636
Mr. Nobody,Drama,Jaco Van Dormael,2009,141,7.9,166872
City of Tiny Lights,Crime,Pete Travis,2016,110,5.7,291
Savages,Crime,Oliver Stone,2012,131,6.5,107960
(500) Days of Summer,Comedy,Marc Webb,2009,95,7.7,398972
Movie 43,Comedy,Elizabeth Banks,2013,94,4.3,83625
Gravity,Drama,Alfonso CuarÃ³n,2013,91,7.8,622089
The Boy in the Striped Pyjamas,Drama,Mark Herman,2008,94,7.8,144614
Shooter,Action,Antoine Fuqua,2007,124,7.2,267820
The Happening,Sci-Fi,M. Night Shyamalan,2008,91,5,170897
Bone Tomahawk,Adventure,S. Craig Zahler,2015,132,7.1,47289
Magic Mike XXL,Comedy,Gregory Jacobs,2015,115,5.7,42506
Easy A,Comedy,Will Gluck,2010,92,7.1,294950
Exodus: Gods and Kings,Action,Ridley Scott,2014,150,6,137299
Chappie,Action,Neill Blomkamp,2015,120,6.9,188769
The Hobbit: The Desolation of Smaug,Adventure,Peter Jackson,2013,161,7.9,513744
Half of a Yellow Sun,Drama,Biyi Bandele,2013,111,6.2,1356
Anthropoid,Biography,Sean Ellis,2016,120,7.2,24100
The Counselor,Crime,Ridley Scott,2013,117,5.3,84927
Viking,Action,Andrey Kravchuk,2016,133,4.7,1830
Whiskey Tango Foxtrot,Biography,Glenn Ficarra,2016,112,6.6,36156
Trust,Crime,David Schwimmer,2010,106,7,36043
Birth of the Dragon,Action,George Nolfi,2016,103,3.9,552
Elysium,Action,Neill Blomkamp,2013,109,6.6,358932
The Green Inferno,Adventure,Eli Roth,2013,100,5.4,26461
Godzilla,Action,Gareth Edwards,2014,123,6.4,318058
The Bourne Legacy,Action,Tony Gilroy,2012,135,6.7,245374
A Good Year,Comedy,Ridley Scott,2006,117,6.9,74674
Friend Request,Horror,Simon Verhoeven,2016,92,5.4,12758
Deja Vu,Action,Tony Scott,2006,126,7,253858
Lucy,Action,Luc Besson,2014,89,6.4,352698
A Quiet Passion,Biography,Terence Davies,2016,125,7.2,1024
Need for Speed,Action,Scott Waugh,2014,132,6.5,143389
Jack Reacher,Action,Christopher McQuarrie,2012,130,7,250811
The Do-Over,Action,Steven Brill,2016,108,5.7,24761
True Crimes,Crime,Alexandros Avranas,2016,92,7.3,198
American Pastoral,Crime,Ewan McGregor,2016,108,6.1,7115
The Ghost Writer,Mystery,Roman Polanski,2010,128,7.2,137964
Limitless,Mystery,Neil Burger,2011,105,7.4,444417
Spectral,Action,Nic Mathieu,2016,107,6.3,27042
P.S. I Love You,Drama,Richard LaGravenese,2007,126,7.1,177247
Zipper,Drama,Mora Stephens,2015,103,5.7,4912
Midnight Special,Drama,Jeff Nichols,2016,112,6.7,54787
Don't Think Twice,Comedy,Mike Birbiglia,2016,92,6.8,10485
Alice in Wonderland,Adventure,Tim Burton,2010,108,6.5,324898
Chuck,Biography,Philippe Falardeau,2016,98,6.8,391
"I, Daniel Blake",Drama,Ken Loach,2016,100,7.9,22941
The Break-Up,Comedy,Peyton Reed,2006,106,5.8,106381
Loving,Biography,Jeff Nichols,2016,123,7.1,17141
Fantastic Four,Action,Josh Trank,2015,100,4.3,121847
The Survivalist,Drama,Stephen Fingleton,2015,104,6.3,9187
Colonia,Drama,Florian Gallenberger,2015,106,7.1,30074
The Boy Next Door,Mystery,Rob Cohen,2015,91,4.6,30180
The Gift,Mystery,Joel Edgerton,2015,108,7.1,96688
Dracula Untold,Action,Gary Shore,2014,92,6.3,148504
In the Heart of the Sea,Action,Ron Howard,2015,122,6.9,90372
Idiocracy,Adventure,Mike Judge,2006,84,6.6,115355
The Expendables,Action,Sylvester Stallone,2010,103,6.5,283282
Evil Dead,Fantasy,Fede Alvarez,2013,91,6.5,133113
Sinister,Horror,Scott Derrickson,2012,110,6.8,171169
Wreck-It Ralph,Animation,Rich Moore,2012,101,7.8,290559
Snow White and the Huntsman,Action,Rupert Sanders,2012,127,6.1,239772
Pan,Adventure,Joe Wright,2015,111,5.8,47804
Transformers: Dark of the Moon,Action,Michael Bay,2011,154,6.3,338369
Juno,Comedy,Jason Reitman,2007,96,7.5,432461
A Hologram for the King,Comedy,Tom Tykwer,2016,98,6.1,26521
Money Monster,Crime,Jodie Foster,2016,98,6.5,68654
The Other Woman,Comedy,Nick Cassavetes,2014,109,6,110825
Enchanted,Animation,Kevin Lima,2007,107,7.1,150353
The Intern,Comedy,Nancy Meyers,2015,121,7.1,159582
Little Miss Sunshine,Comedy,Jonathan Dayton,2006,101,7.8,374044
Bleed for This,Biography,Ben Younger,2016,117,6.8,11900
Clash of the Titans,Action,Louis Leterrier,2010,106,5.8,238206
The Finest Hours,Action,Craig Gillespie,2016,117,6.8,44425
Tron,Action,Joseph Kosinski,2010,125,6.8,273959
The Hunger Games: Catching Fire,Action,Francis Lawrence,2013,146,7.6,525646
All Good Things,Crime,Andrew Jarecki,2010,101,6.3,44158
Kickboxer: Vengeance,Action,John Stockwell,2016,90,4.9,6809
The Last Airbender,Action,M. Night Shyamalan,2010,103,4.2,125129
Sex Tape,Comedy,Jake Kasdan,2014,94,5.1,89885
What to Expect When You're Expecting,Comedy,Kirk Jones,2012,110,5.7,60059
Moneyball,Biography,Bennett Miller,2011,133,7.6,297395
Ghost Rider,Action,Mark Steven Johnson,2007,114,5.2,190673
Unbroken,Biography,Angelina Jolie,2014,137,7.2,114006
Immortals,Action,Tarsem Singh,2011,110,6,142900
Sunshine,Adventure,Danny Boyle,2007,107,7.3,199860
Brave,Animation,Mark Andrews,2012,93,7.2,293941
MÃ¤n som hatar kvinnor,Drama,Niels Arden Oplev,2009,152,7.8,182074
Adoration,Drama,Anne Fontaine,2013,112,6.2,25208
The Drop,Crime,MichaÃ«l R. Roskam,2014,106,7.1,116118
She's the Man,Comedy,Andy Fickman,2006,105,6.4,122864
Daddy's Home,Comedy,Sean Anders,2015,96,6.1,68306
Let Me In,Drama,Matt Reeves,2010,116,7.2,97141
Never Back Down,Action,Jeff Wadlow,2008,110,6.6,84083
Grimsby,Action,Louis Leterrier,2016,83,6.2,63408
Moon,Drama,Duncan Jones,2009,97,7.9,277123
Megamind,Animation,Tom McGrath,2010,95,7.3,183926
Gangster Squad,Action,Ruben Fleischer,2013,113,6.7,181432
Blood Father,Action,Jean-FranÃ§ois Richet,2016,88,6.4,40357
He's Just Not That Into You,Comedy,Ken Kwapis,2009,129,6.4,137684
Kung Fu Panda 3,Animation,Alessandro Carloni,2016,95,7.2,89791
The Rise of the Krays,Crime,Zackary Adler,2015,110,5.1,1630
Handsome Devil,Drama,John Butler,2016,95,7.4,338
Winter's Bone,Drama,Debra Granik,2010,100,7.2,116435
Horrible Bosses,Comedy,Seth Gordon,2011,98,6.9,368556
Mommy,Drama,Xavier Dolan,2014,139,8.1,33560
Hellboy II: The Golden Army,Action,Guillermo del Toro,2008,120,7,216932
Beautiful Creatures,Drama,Richard LaGravenese,2013,124,6.2,71822
Toni Erdmann,Comedy,Maren Ade,2016,162,7.6,24387
The Lovely Bones,Drama,Peter Jackson,2009,135,6.7,130702
The Assassination of Jesse James by the Coward Robert Ford,Biography,Andrew Dominik,2007,160,7.5,143564
Don Jon,Comedy,Joseph Gordon-Levitt,2013,90,6.6,199973
Bastille Day,Action,James Watkins,2016,92,6.3,21089
2307: Winter's Dream,Sci-Fi,Joey Curtis,2016,101,4,277
Free State of Jones,Action,Gary Ross,2016,139,6.9,29895
Mr. Right,Action,Paco Cabezas,2015,95,6.3,30053
The Secret Life of Walter Mitty,Adventure,Ben Stiller,2013,114,7.3,249877
Dope,Comedy,Rick Famuyiwa,2015,103,7.3,66400
Underworld Awakening,Action,MÃ¥ns MÃ¥rlind,2012,88,6.4,127157
Antichrist,Drama,Lars von Trier,2009,108,6.6,94069
Friday the 13th,Horror,Marcus Nispel,2009,97,5.6,78631
Taken 3,Action,Olivier Megaton,2014,109,6,144715
Total Recall,Action,Len Wiseman,2012,118,6.3,210965
X-Men: The Last Stand,Action,Brett Ratner,2006,104,6.7,406540
The Escort,Comedy,Will Slocombe,2016,88,6,7181
The Whole Truth,Crime,Courtney Hunt,2016,93,6.1,10700
Night at the Museum: Secret of the Tomb,Adventure,Shawn Levy,2014,98,6.2,74886
Love & Other Drugs,Comedy,Edward Zwick,2010,112,6.7,151519
The Interview,Comedy,Evan Goldberg,2014,112,6.6,261536
The Host,Comedy,Bong Joon Ho,2006,120,7,73491
Megan Is Missing,Drama,Michael Goi,2011,85,4.9,6683
WALLÂ·E,Animation,Andrew Stanton,2008,98,8.4,776897
Knocked Up,Comedy,Judd Apatow,2007,129,7,309398
Source Code,Mystery,Duncan Jones,2011,93,7.5,404884
Lawless,Crime,John Hillcoat,2012,116,7.3,195360
Unfriended,Drama,Levan Gabriadze,2014,83,5.6,50402
American Reunion,Comedy,Jon Hurwitz,2012,113,6.7,178471
The Pursuit of Happyness,Biography,Gabriele Muccino,2006,117,8,361105
Relatos salvajes,Comedy,DamiÃ¡n Szifron,2014,122,8.1,110100
The Ridiculous 6,Comedy,Frank Coraci,2015,119,4.8,31149
Frantz,Drama,FranÃ§ois Ozon,2016,113,7.5,4304
Viral,Drama,Henry Joost,2016,85,5.5,3564
Gran Torino,Drama,Clint Eastwood,2008,116,8.2,595779
Burnt,Comedy,John Wells,2015,101,6.6,76469
Tall Men,Fantasy,Jonathan Holbrook,2016,133,3.2,173
Sleeping Beauty,Drama,Julia Leigh,2011,101,5.3,27006
Vampire Academy,Action,Mark Waters,2014,104,5.6,44111
Sweeney Todd: The Demon Barber of Fleet Street,Drama,Tim Burton,2007,116,7.4,296289
Solace,Crime,Afonso Poyart,2015,101,6.4,36300
Insidious,Horror,James Wan,2010,103,6.8,219916
Popstar: Never Stop Never Stopping,Comedy,Akiva Schaffer,2016,87,6.7,30875
The Levelling,Drama,Hope Dickson Leach,2016,83,6.4,482
Public Enemies,Biography,Michael Mann,2009,140,7,240323
Boyhood,Drama,Richard Linklater,2014,165,7.9,286722
Teenage Mutant Ninja Turtles,Action,Jonathan Liebesman,2014,101,5.9,178527
Eastern Promises,Crime,David Cronenberg,2007,100,7.7,198006
The Daughter,Drama,Simon Stone,2015,96,6.7,2798
Pineapple Express,Action,David Gordon Green,2008,111,7,267872
The First Time,Comedy,Jon Kasdan,2012,95,6.9,54027
Gone Baby Gone,Crime,Ben Affleck,2007,114,7.7,206707
The Heat,Action,Paul Feig,2013,117,6.6,140151
L'avenir,Drama,Mia Hansen-LÃ¸ve,2016,102,7.1,5796
Anna Karenina,Drama,Joe Wright,2012,129,6.6,75291
Regression,Crime,Alejandro AmenÃ¡bar,2015,106,5.7,26320
Ted 2,Adventure,Seth MacFarlane,2015,115,6.3,136323
Pain & Gain,Comedy,Michael Bay,2013,129,6.5,168875
Blood Diamond,Adventure,Edward Zwick,2006,143,8,422014
Devil's Knot,Biography,Atom Egoyan,2013,114,6.1,15514
Child 44,Crime,Daniel Espinosa,2015,137,6.5,47703
The Hurt Locker,Drama,Kathryn Bigelow,2008,131,7.6,352023
Green Lantern,Action,Martin Campbell,2011,114,5.6,231907
War on Everyone,Action,John Michael McDonagh,2016,98,5.9,9285
The Mist,Horror,Frank Darabont,2007,126,7.2,233346
Escape Plan,Action,Mikael HÃ¥fstrÃ¶m,2013,115,6.7,188004
"Love, Rosie",Comedy,Christian Ditter,2014,102,7.2,80415
The DUFF,Comedy,Ari Sandel,2015,101,6.5,57874
The Age of Shadows,Action,Jee-woon Kim,2016,140,7.2,2403
The Hunger Games: Mockingjay - Part 1,Action,Francis Lawrence,2014,123,6.7,331902
We Need to Talk About Kevin,Drama,Lynne Ramsay,2011,112,7.5,104953
Love & Friendship,Comedy,Whit Stillman,2016,90,6.5,16164
The Mortal Instruments: City of Bones,Action,Harald Zwart,2013,130,5.9,112313
Seven Pounds,Drama,Gabriele Muccino,2008,123,7.7,245144
The King's Speech,Biography,Tom Hooper,2010,118,8,534388
Hunger,Biography,Steve McQueen,2008,96,7.6,54486
Jumper,Action,Doug Liman,2008,88,6.1,252503
Toy Story 3,Animation,Lee Unkrich,2010,103,8.3,586669
Tinker Tailor Soldier Spy,Drama,Tomas Alfredson,2011,122,7.1,157053
Resident Evil: Retribution,Action,Paul W.S. Anderson,2012,96,5.4,114144
Dear Zindagi,Drama,Gauri Shinde,2016,151,7.8,23540
Genius,Biography,Michael Grandage,2016,104,6.5,10708
Pompeii,Action,Paul W.S. Anderson,2014,105,5.5,90188
Life of Pi,Adventure,Ang Lee,2012,127,7.9,471109
Hachi: A Dog's Tale,Drama,Lasse HallstrÃ¶m,2009,93,8.1,177602
10 Years,Comedy,Jamie Linden,2011,100,6.1,19636
I Origins,Drama,Mike Cahill,2014,106,7.3,86271
Live Free or Die Hard,Action,Len Wiseman,2007,128,7.2,347567
The Matchbreaker,Comedy,Caleb Vetter,2016,94,5.5,1427
Funny Games,Crime,Michael Haneke,2007,111,6.5,73835
Ted,Comedy,Seth MacFarlane,2012,106,7,494641
RED,Action,Robert Schwentke,2010,111,7.1,250012
Australia,Adventure,Baz Luhrmann,2008,165,6.6,106115
Faster,Action,George Tillman Jr.,2010,98,6.5,83788
The Neighbor,Crime,Marcus Dunstan,2016,87,5.8,4754
The Adjustment Bureau,Romance,George Nolfi,2011,106,7.1,208632
The Hollars,Comedy,John Krasinski,2016,88,6.5,5908
The Judge,Crime,David Dobkin,2014,141,7.4,146812
Closed Circuit,Crime,John Crowley,2013,96,6.2,18437
Transformers: Revenge of the Fallen,Action,Michael Bay,2009,150,6,335757
La tortue rouge,Animation,Michael Dudok de Wit,2016,80,7.6,11482
The Book of Life,Animation,Jorge R. GutiÃ©rrez,2014,95,7.3,50388
Incendies,Drama,Denis Villeneuve,2010,131,8.2,92863
The Heartbreak Kid,Comedy,Bobby Farrelly,2007,116,5.8,74664
Happy Feet,Animation,George Miller,2006,108,6.5,141141
Entourage,Comedy,Doug Ellin,2015,104,6.6,64557
The Strangers,Horror,Bryan Bertino,2008,86,6.2,96718
Noah,Action,Darren Aronofsky,2014,138,5.8,209700
Neighbors,Comedy,Nicholas Stoller,2014,97,6.4,236500
Nymphomaniac: Vol. II,Drama,Lars von Trier,2013,123,6.7,65824
Wild,Adventure,Jean-Marc VallÃ©e,2014,115,7.1,95553
Grown Ups,Comedy,Dennis Dugan,2010,102,6,190385
Blair Witch,Horror,Adam Wingard,2016,89,5.1,26088
The Karate Kid,Action,Harald Zwart,2010,140,6.2,127983
Dark Shadows,Comedy,Tim Burton,2012,113,6.2,209326
Friends with Benefits,Comedy,Will Gluck,2011,109,6.6,286543
The Illusionist,Drama,Neil Burger,2006,110,7.6,309934
The A-Team,Action,Joe Carnahan,2010,117,6.8,219116
The Guest,Thriller,Adam Wingard,2014,100,6.7,71069
The Internship,Comedy,Shawn Levy,2013,119,6.3,166342
Paul,Adventure,Greg Mottola,2011,104,7,201707
This Beautiful Fantastic,Comedy,Simon Aboud,2016,100,6.9,688
The Da Vinci Code,Mystery,Ron Howard,2006,149,6.6,338280
Mr. Church,Comedy,Bruce Beresford,2016,104,7.7,16163
Hugo,Adventure,Martin Scorsese,2011,126,7.5,259182
The Blackcoat's Daughter,Horror,Oz Perkins,2015,93,5.6,4155
Body of Lies,Action,Ridley Scott,2008,128,7.1,182305
Knight of Cups,Drama,Terrence Malick,2015,118,5.7,17439
The Mummy: Tomb of the Dragon Emperor,Action,Rob Cohen,2008,112,5.2,124554
The Boss,Comedy,Ben Falcone,2016,99,5.4,29642
Hands of Stone,Action,Jonathan Jakubowicz,2016,111,6.6,8998
El secreto de sus ojos,Drama,Juan JosÃ© Campanella,2009,129,8.2,144524
True Grit,Adventure,Ethan Coen,2010,110,7.6,254904
We Are Your Friends,Drama,Max Joseph,2015,96,6.2,25903
A Million Ways to Die in the West,Comedy,Seth MacFarlane,2014,116,6.1,144779
Only for One Night,Thriller,Chris Stokes,2016,86,4.6,313
Rules Don't Apply,Comedy,Warren Beatty,2016,127,5.7,3731
Ouija: Origin of Evil,Horror,Mike Flanagan,2016,99,6.1,30035
Percy Jackson: Sea of Monsters,Adventure,Thor Freudenthal,2013,106,5.9,91684
Fracture,Crime,Gregory Hoblit,2007,113,7.2,148943
Oculus,Horror,Mike Flanagan,2013,104,6.5,92875
In Bruges,Comedy,Martin McDonagh,2008,107,7.9,322536
This Means War,Action,McG,2012,103,6.3,154400
LÃ­da BaarovÃ¡,Biography,Filip Renc,2016,106,5,353
The Road,Adventure,John Hillcoat,2009,111,7.3,187302
Lavender,Drama,Ed Gass-Donnelly,2016,92,5.2,2083
Deuces,Drama,Jamal Hill,2016,87,6.6,256
Conan the Barbarian,Action,Marcus Nispel,2011,113,5.2,84893
The Fighter,Action,David O. Russell,2010,116,7.8,290056
August Rush,Drama,Kirsten Sheridan,2007,114,7.5,91229
Chef,Comedy,Jon Favreau,2014,114,7.3,151970
Eye in the Sky,Drama,Gavin Hood,2015,102,7.3,57826
Eagle Eye,Action,D.J. Caruso,2008,118,6.6,156158
The Purge,Horror,James DeMonaco,2013,85,5.7,154588
PK,Comedy,Rajkumar Hirani,2014,153,8.2,103279
Ender's Game,Action,Gavin Hood,2013,114,6.7,194236
Indiana Jones and the Kingdom of the Crystal Skull,Action,Steven Spielberg,2008,122,6.2,351361
Paper Towns,Drama,Jake Schreier,2015,109,6.3,72515
High-Rise,Drama,Ben Wheatley,2015,119,5.7,25928
Quantum of Solace,Action,Marc Forster,2008,106,6.6,347798
The Assignment,Action,Walter Hill,2016,95,4.5,2043
How to Train Your Dragon,Animation,Dean DeBlois,2010,98,8.1,523893
Lady in the Water,Drama,M. Night Shyamalan,2006,110,5.6,82701
The Fountain,Drama,Darren Aronofsky,2006,96,7.3,199193
Cars 2,Animation,John Lasseter,2011,106,6.2,110490
31,Horror,Rob Zombie,2016,102,5.1,10871
Final Girl,Action,Tyler Shields,2015,90,4.7,9026
Chalk It Up,Comedy,Hisonni Johnson,2016,90,4.8,499
The Man Who Knew Infinity,Biography,Matt Brown,2015,108,7.2,29912
Unknown,Action,Jaume Collet-Serra,2011,113,6.9,218679
Self/less,Action,Tarsem Singh,2015,117,6.5,67196
Mr. Brooks,Crime,Bruce A. Evans,2007,120,7.3,128146
Tramps,Comedy,Adam Leon,2016,82,6.5,1031
Before We Go,Comedy,Chris Evans,2014,95,6.9,31370
Captain Phillips,Biography,Paul Greengrass,2013,134,7.8,346154
The Secret Scripture,Drama,Jim Sheridan,2016,108,6.8,378
Max Steel,Action,Stewart Hendler,2016,92,4.6,11555
Hotel Transylvania 2,Animation,Genndy Tartakovsky,2015,89,6.7,69157
Hancock,Action,Peter Berg,2008,92,6.4,366138
Sisters,Comedy,Jason Moore,2015,118,6,50241
The Family,Comedy,Luc Besson,2013,111,6.3,92868
Zack and Miri Make a Porno,Comedy,Kevin Smith,2008,101,6.6,154936
Ma vie de Courgette,Animation,Claude Barras,2016,66,7.8,4370
Man on a Ledge,Action,Asger Leth,2012,102,6.6,129252
No Strings Attached,Comedy,Ivan Reitman,2011,108,6.2,178243
Rescue Dawn,Adventure,Werner Herzog,2006,120,7.3,87887
Despicable Me 2,Animation,Pierre Coffin,2013,98,7.4,304837
A Walk Among the Tombstones,Crime,Scott Frank,2014,114,6.5,93883
The World's End,Action,Edgar Wright,2013,109,7,199813
Yoga Hosers,Comedy,Kevin Smith,2016,88,4.3,7091
Seven Psychopaths,Comedy,Martin McDonagh,2012,110,7.2,196652
Beowulf,Animation,Robert Zemeckis,2007,115,6.2,146566
Jack Ryan: Shadow Recruit,Action,Kenneth Branagh,2014,105,6.2,103681
1408,Fantasy,Mikael HÃ¥fstrÃ¶m,2007,104,6.8,221073
The Gambler,Crime,Rupert Wyatt,2014,111,6,52537
Prince of Persia: The Sands of Time,Action,Mike Newell,2010,116,6.6,233148
The Spectacular Now,Comedy,James Ponsoldt,2013,95,7.1,115751
A United Kingdom,Biography,Amma Asante,2016,111,6.8,4771
USS Indianapolis: Men of Courage,Action,Mario Van Peebles,2016,128,5.2,4964
Turbo Kid,Action,FranÃ§ois Simard,2015,93,6.7,19309
Mama,Horror,AndrÃ©s Muschietti,2013,100,6.2,142560
Orphan,Horror,Jaume Collet-Serra,2009,123,7,153448
To Rome with Love,Comedy,Woody Allen,2012,112,6.3,72050
Fantastic Mr. Fox,Animation,Wes Anderson,2009,87,7.8,149779
Inside Man,Crime,Spike Lee,2006,129,7.6,285441
I.T.,Crime,John Moore,2016,95,5.4,8755
127 Hours,Adventure,Danny Boyle,2010,94,7.6,294010
Annabelle,Horror,John R. Leonetti,2014,99,5.4,91106
Wolves at the Door,Horror,John R. Leonetti,2016,73,4.6,564
Suite FranÃ§aise,Drama,Saul Dibb,2014,107,6.9,13711
The Imaginarium of Doctor Parnassus,Adventure,Terry Gilliam,2009,123,6.8,130153
G.I. Joe: The Rise of Cobra,Action,Stephen Sommers,2009,118,5.8,180105
Christine,Biography,Antonio Campos,2016,119,7,5855
Man Down,Drama,Dito Montiel,2015,90,5.8,4779
Crawlspace,Horror,Phil Claydon,2016,88,5.3,1427
Shut In,Drama,Farren Blackburn,2016,91,4.6,5715
The Warriors Gate,Action,Matthias Hoene,2016,108,5.3,1391
Grindhouse,Action,Robert Rodriguez,2007,191,7.6,160350
Disaster Movie,Comedy,Jason Friedberg,2008,87,1.9,77207
Rocky Balboa,Drama,Sylvester Stallone,2006,102,7.2,171356
Diary of a Wimpy Kid: Dog Days,Comedy,David Bowers,2012,94,6.4,16917
Jane Eyre,Drama,Cary Joji Fukunaga,2011,120,7.4,67464
Fool's Gold,Action,Andy Tennant,2008,112,5.7,62719
The Dictator,Comedy,Larry Charles,2012,83,6.4,225394
The Loft,Mystery,Erik Van Looy,2014,108,6.3,38804
Bacalaureat,Crime,Cristian Mungiu,2016,128,7.5,5531
You Don't Mess with the Zohan,Action,Dennis Dugan,2008,113,5.5,163144
Exposed,Crime,Gee Malik Linton,2016,102,4.2,8409
Maudie,Biography,Aisling Walsh,2016,115,7.8,346
Horrible Bosses 2,Comedy,Sean Anders,2014,108,6.3,125190
A Bigger Splash,Drama,Luca Guadagnino,2015,125,6.4,15232
Melancholia,Drama,Lars von Trier,2011,135,7.1,137117
The Princess and the Frog,Animation,Ron Clements,2009,97,7.1,95480
Unstoppable,Action,Tony Scott,2010,98,6.8,157499
Flight,Drama,Robert Zemeckis,2012,138,7.3,276347
Home,Animation,Tim Johnson,2015,94,6.7,77447
La migliore offerta,Crime,Giuseppe Tornatore,2013,131,7.8,77986
Mean Dreams,Thriller,Nathan Morlando,2016,108,6.3,1066
42,Biography,Brian Helgeland,2013,128,7.5,69659
21,Crime,Robert Luketic,2008,123,6.8,198395
Begin Again,Drama,John Carney,2013,104,7.4,111875
Out of the Furnace,Crime,Scott Cooper,2013,116,6.8,88829
